graph_id,assortativity,layout_name,no_communities,calculated_bestnum,size,bestnum_algo
0,0.9482069684172588,kamada_kawai,2,2,100.0,gap_statistic
0,0.9482069684172588,spring,2,2,100.0,gap_statistic
0,0.9482069684172588,davidson_harel,2,9,100.0,gap_statistic
0,0.9482069684172588,drl,2,2,100.0,gap_statistic
0,0.9482069684172588,fruchterman_reingold,2,2,100.0,gap_statistic
0,0.9482069684172588,graphopt,2,2,100.0,gap_statistic
0,0.9482069684172588,lgl,2,9,100.0,gap_statistic
0,0.9482069684172588,mds,2,2,100.0,gap_statistic
1,0.8606403692218938,kamada_kawai,2,2,100.0,gap_statistic
1,0.8606403692218938,spring,2,2,100.0,gap_statistic
1,0.8606403692218938,davidson_harel,2,2,100.0,gap_statistic
1,0.8606403692218938,drl,2,3,100.0,gap_statistic
1,0.8606403692218938,fruchterman_reingold,2,2,100.0,gap_statistic
1,0.8606403692218938,graphopt,2,2,100.0,gap_statistic
1,0.8606403692218938,lgl,2,9,100.0,gap_statistic
1,0.8606403692218938,mds,2,2,100.0,gap_statistic
2,0.8041935055658451,kamada_kawai,2,2,100.0,gap_statistic
2,0.8041935055658451,spring,2,2,100.0,gap_statistic
2,0.8041935055658451,davidson_harel,2,9,100.0,gap_statistic
2,0.8041935055658451,drl,2,9,100.0,gap_statistic
2,0.8041935055658451,fruchterman_reingold,2,2,100.0,gap_statistic
2,0.8041935055658451,graphopt,2,2,100.0,gap_statistic
2,0.8041935055658451,lgl,2,9,100.0,gap_statistic
2,0.8041935055658451,mds,2,2,100.0,gap_statistic
3,0.6752923490868684,kamada_kawai,2,8,100.0,gap_statistic
3,0.6752923490868684,spring,2,2,100.0,gap_statistic
3,0.6752923490868684,davidson_harel,2,2,100.0,gap_statistic
3,0.6752923490868684,drl,2,8,100.0,gap_statistic
3,0.6752923490868684,fruchterman_reingold,2,2,100.0,gap_statistic
3,0.6752923490868684,graphopt,2,2,100.0,gap_statistic
3,0.6752923490868684,lgl,2,6,100.0,gap_statistic
3,0.6752923490868684,mds,2,2,100.0,gap_statistic
4,0.5560406495671029,kamada_kawai,2,2,100.0,gap_statistic
