graph_id,assortativity,layout_name,no_communities,calculated_bestnum,size,bestnum_algo
0,0.9682896179246544,kamada_kawai,2,4,75.0,elbow
0,0.9682896179246544,spring,2,6,75.0,elbow
0,0.9682896179246544,davidson_harel,2,5,75.0,elbow
0,0.9682896179246544,drl,2,4,75.0,elbow
0,0.9682896179246544,fruchterman_reingold,2,6,75.0,elbow
0,0.9682896179246544,graphopt,2,4,75.0,elbow
0,0.9682896179246544,lgl,2,5,75.0,elbow
0,0.9682896179246544,mds,2,4,75.0,elbow
1,0.8950260266049739,kamada_kawai,2,4,75.0,elbow
1,0.8950260266049739,spring,2,6,75.0,elbow
1,0.8950260266049739,davidson_harel,2,6,75.0,elbow
1,0.8950260266049739,drl,2,5,75.0,elbow
1,0.8950260266049739,fruchterman_reingold,2,7,75.0,elbow
1,0.8950260266049739,graphopt,2,4,75.0,elbow
1,0.8950260266049739,lgl,2,3,75.0,elbow
1,0.8950260266049739,mds,2,4,75.0,elbow
2,0.8099370526470483,kamada_kawai,2,4,75.0,elbow
2,0.8099370526470483,spring,2,6,75.0,elbow
2,0.8099370526470483,davidson_harel,2,5,75.0,elbow
2,0.8099370526470483,drl,2,5,75.0,elbow
2,0.8099370526470483,fruchterman_reingold,2,5,75.0,elbow
2,0.8099370526470483,graphopt,2,4,75.0,elbow
2,0.8099370526470483,lgl,2,4,75.0,elbow
2,0.8099370526470483,mds,2,5,75.0,elbow
3,0.6847513038063361,kamada_kawai,2,4,75.0,elbow
3,0.6847513038063361,spring,2,4,75.0,elbow
3,0.6847513038063361,davidson_harel,2,3,75.0,elbow
3,0.6847513038063361,drl,2,4,75.0,elbow
3,0.6847513038063361,fruchterman_reingold,2,4,75.0,elbow
3,0.6847513038063361,graphopt,2,4,75.0,elbow
3,0.6847513038063361,lgl,2,3,75.0,elbow
3,0.6847513038063361,mds,2,4,75.0,elbow
4,0.5831820931639444,kamada_kawai,2,4,75.0,elbow
4,0.5831820931639444,spring,2,6,75.0,elbow
4,0.5831820931639444,davidson_harel,2,4,75.0,elbow
4,0.5831820931639444,drl,2,4,75.0,elbow
4,0.5831820931639444,fruchterman_reingold,2,4,75.0,elbow
4,0.5831820931639444,graphopt,2,4,75.0,elbow
4,0.5831820931639444,lgl,2,4,75.0,elbow
4,0.5831820931639444,mds,2,4,75.0,elbow
5,0.7216411114666141,kamada_kawai,2,4,75.0,elbow
5,0.7216411114666141,spring,2,4,75.0,elbow
5,0.7216411114666141,davidson_harel,2,3,75.0,elbow
5,0.7216411114666141,drl,2,4,75.0,elbow
5,0.7216411114666141,fruchterman_reingold,2,4,75.0,elbow
5,0.7216411114666141,graphopt,2,4,75.0,elbow
5,0.7216411114666141,lgl,2,3,75.0,elbow
5,0.7216411114666141,mds,2,4,75.0,elbow
6,0.6476134883929773,kamada_kawai,3,3,75.0,elbow
6,0.6476134883929773,spring,3,3,75.0,elbow
6,0.6476134883929773,davidson_harel,3,3,75.0,elbow
6,0.6476134883929773,drl,3,4,75.0,elbow
6,0.6476134883929773,fruchterman_reingold,3,3,75.0,elbow
6,0.6476134883929773,graphopt,3,3,75.0,elbow
6,0.6476134883929773,lgl,3,3,75.0,elbow
6,0.6476134883929773,mds,3,3,75.0,elbow
7,0.8163014573789025,kamada_kawai,3,3,75.0,elbow
7,0.8163014573789025,spring,3,3,75.0,elbow
7,0.8163014573789025,davidson_harel,3,3,75.0,elbow
7,0.8163014573789025,drl,3,4,75.0,elbow
7,0.8163014573789025,fruchterman_reingold,3,3,75.0,elbow
7,0.8163014573789025,graphopt,3,3,75.0,elbow
7,0.8163014573789025,lgl,3,4,75.0,elbow
7,0.8163014573789025,mds,3,3,75.0,elbow
8,0.6535337712427768,kamada_kawai,3,3,75.0,elbow
8,0.6535337712427768,spring,3,3,75.0,elbow
8,0.6535337712427768,davidson_harel,3,3,75.0,elbow
8,0.6535337712427768,drl,3,5,75.0,elbow
8,0.6535337712427768,fruchterman_reingold,3,3,75.0,elbow
8,0.6535337712427768,graphopt,3,3,75.0,elbow
8,0.6535337712427768,lgl,3,4,75.0,elbow
8,0.6535337712427768,mds,3,3,75.0,elbow
9,0.8490640999015789,kamada_kawai,3,3,75.0,elbow
9,0.8490640999015789,spring,3,3,75.0,elbow
9,0.8490640999015789,davidson_harel,3,3,75.0,elbow
9,0.8490640999015789,drl,3,3,75.0,elbow
9,0.8490640999015789,fruchterman_reingold,3,3,75.0,elbow
9,0.8490640999015789,graphopt,3,3,75.0,elbow
9,0.8490640999015789,lgl,3,4,75.0,elbow
9,0.8490640999015789,mds,3,3,75.0,elbow
10,0.657372856484005,kamada_kawai,3,3,75.0,elbow
10,0.657372856484005,spring,3,3,75.0,elbow
10,0.657372856484005,davidson_harel,3,3,75.0,elbow
10,0.657372856484005,drl,3,4,75.0,elbow
10,0.657372856484005,fruchterman_reingold,3,3,75.0,elbow
10,0.657372856484005,graphopt,3,3,75.0,elbow
10,0.657372856484005,lgl,3,5,75.0,elbow
10,0.657372856484005,mds,3,3,75.0,elbow
11,0.5382849247711644,kamada_kawai,3,4,75.0,elbow
11,0.5382849247711644,spring,3,3,75.0,elbow
11,0.5382849247711644,davidson_harel,3,5,75.0,elbow
11,0.5382849247711644,drl,3,4,75.0,elbow
11,0.5382849247711644,fruchterman_reingold,3,3,75.0,elbow
11,0.5382849247711644,graphopt,3,3,75.0,elbow
