graph_id,assortativity,layout_name,no_communities,calculated_bestnum,size,bestnum_algo,diff,abs_diff
0,0.9482069684172588,kamada_kawai,2,3,100.0,mix_50ch_50elbow,1,1
0,0.9482069684172588,spring,2,4,100.0,mix_50ch_50elbow,2,2
0,0.9482069684172588,davidson_harel,2,3,100.0,mix_50ch_50elbow,1,1
0,0.9482069684172588,drl,2,4,100.0,mix_50ch_50elbow,2,2
0,0.9482069684172588,fruchterman_reingold,2,4,100.0,mix_50ch_50elbow,2,2
0,0.9482069684172588,graphopt,2,4,100.0,mix_50ch_50elbow,2,2
0,0.9482069684172588,lgl,2,3,100.0,mix_50ch_50elbow,1,1
0,0.9482069684172588,mds,2,4,100.0,mix_50ch_50elbow,2,2
1,0.8606403692218938,kamada_kawai,2,4,100.0,mix_50ch_50elbow,2,2
1,0.8606403692218938,spring,2,4,100.0,mix_50ch_50elbow,2,2
1,0.8606403692218938,davidson_harel,2,4,100.0,mix_50ch_50elbow,2,2
1,0.8606403692218938,drl,2,3,100.0,mix_50ch_50elbow,1,1
1,0.8606403692218938,fruchterman_reingold,2,3,100.0,mix_50ch_50elbow,1,1
1,0.8606403692218938,graphopt,2,3,100.0,mix_50ch_50elbow,1,1
1,0.8606403692218938,lgl,2,3,100.0,mix_50ch_50elbow,1,1
1,0.8606403692218938,mds,2,3,100.0,mix_50ch_50elbow,1,1
2,0.8041935055658451,kamada_kawai,2,3,100.0,mix_50ch_50elbow,1,1
2,0.8041935055658451,spring,2,4,100.0,mix_50ch_50elbow,2,2
2,0.8041935055658451,davidson_harel,2,4,100.0,mix_50ch_50elbow,2,2
2,0.8041935055658451,drl,2,3,100.0,mix_50ch_50elbow,1,1
2,0.8041935055658451,fruchterman_reingold,2,3,100.0,mix_50ch_50elbow,1,1
2,0.8041935055658451,graphopt,2,3,100.0,mix_50ch_50elbow,1,1
2,0.8041935055658451,lgl,2,4,100.0,mix_50ch_50elbow,2,2
2,0.8041935055658451,mds,2,3,100.0,mix_50ch_50elbow,1,1
3,0.6752923490868684,kamada_kawai,2,3,100.0,mix_50ch_50elbow,1,1
3,0.6752923490868684,spring,2,3,100.0,mix_50ch_50elbow,1,1
3,0.6752923490868684,davidson_harel,2,4,100.0,mix_50ch_50elbow,2,2
3,0.6752923490868684,drl,2,3,100.0,mix_50ch_50elbow,1,1
3,0.6752923490868684,fruchterman_reingold,2,3,100.0,mix_50ch_50elbow,1,1
3,0.6752923490868684,graphopt,2,3,100.0,mix_50ch_50elbow,1,1
