graph_id,assortativity,layout_name,no_communities,calculated_bestnum,size,bestnum_algo
0,0.9524634306091262,kamada_kawai,2,2,125.0,calinski_harabasz
0,0.9524634306091262,spring,2,2,125.0,calinski_harabasz
0,0.9524634306091262,davidson_harel,2,2,125.0,calinski_harabasz
0,0.9524634306091262,drl,2,2,125.0,calinski_harabasz
0,0.9524634306091262,fruchterman_reingold,2,2,125.0,calinski_harabasz
0,0.9524634306091262,graphopt,2,2,125.0,calinski_harabasz
0,0.9524634306091262,lgl,2,5,125.0,calinski_harabasz
0,0.9524634306091262,mds,2,2,125.0,calinski_harabasz
1,0.8797665563391169,kamada_kawai,2,2,125.0,calinski_harabasz
1,0.8797665563391169,spring,2,2,125.0,calinski_harabasz
1,0.8797665563391169,davidson_harel,2,2,125.0,calinski_harabasz
1,0.8797665563391169,drl,2,2,125.0,calinski_harabasz
1,0.8797665563391169,fruchterman_reingold,2,2,125.0,calinski_harabasz
1,0.8797665563391169,graphopt,2,2,125.0,calinski_harabasz
1,0.8797665563391169,lgl,2,2,125.0,calinski_harabasz
1,0.8797665563391169,mds,2,2,125.0,calinski_harabasz
2,0.8132979565974973,kamada_kawai,2,2,125.0,calinski_harabasz
2,0.8132979565974973,spring,2,2,125.0,calinski_harabasz
2,0.8132979565974973,davidson_harel,2,2,125.0,calinski_harabasz
2,0.8132979565974973,drl,2,2,125.0,calinski_harabasz
2,0.8132979565974973,fruchterman_reingold,2,2,125.0,calinski_harabasz
2,0.8132979565974973,graphopt,2,2,125.0,calinski_harabasz
2,0.8132979565974973,lgl,2,5,125.0,calinski_harabasz
2,0.8132979565974973,mds,2,2,125.0,calinski_harabasz
3,0.6626799639735984,kamada_kawai,2,2,125.0,calinski_harabasz
3,0.6626799639735984,spring,2,2,125.0,calinski_harabasz
3,0.6626799639735984,davidson_harel,2,2,125.0,calinski_harabasz
3,0.6626799639735984,drl,2,2,125.0,calinski_harabasz
3,0.6626799639735984,fruchterman_reingold,2,2,125.0,calinski_harabasz
3,0.6626799639735984,graphopt,2,2,125.0,calinski_harabasz
3,0.6626799639735984,lgl,2,3,125.0,calinski_harabasz
3,0.6626799639735984,mds,2,2,125.0,calinski_harabasz
4,0.5296939600298767,kamada_kawai,2,5,125.0,calinski_harabasz
4,0.5296939600298767,spring,2,2,125.0,calinski_harabasz
4,0.5296939600298767,davidson_harel,2,2,125.0,calinski_harabasz
4,0.5296939600298767,drl,2,5,125.0,calinski_harabasz
4,0.5296939600298767,fruchterman_reingold,2,2,125.0,calinski_harabasz
4,0.5296939600298767,graphopt,2,2,125.0,calinski_harabasz
4,0.5296939600298767,lgl,2,5,125.0,calinski_harabasz
4,0.5296939600298767,mds,2,3,125.0,calinski_harabasz
5,0.7603026572261277,kamada_kawai,2,2,125.0,calinski_harabasz
5,0.7603026572261277,spring,2,2,125.0,calinski_harabasz
5,0.7603026572261277,davidson_harel,2,2,125.0,calinski_harabasz
5,0.7603026572261277,drl,2,2,125.0,calinski_harabasz
5,0.7603026572261277,fruchterman_reingold,2,2,125.0,calinski_harabasz
5,0.7603026572261277,graphopt,2,2,125.0,calinski_harabasz
5,0.7603026572261277,lgl,2,2,125.0,calinski_harabasz
5,0.7603026572261277,mds,2,2,125.0,calinski_harabasz
6,0.6053148786306664,kamada_kawai,3,3,125.0,calinski_harabasz
6,0.6053148786306664,spring,3,3,125.0,calinski_harabasz
6,0.6053148786306664,davidson_harel,3,3,125.0,calinski_harabasz
6,0.6053148786306664,drl,3,2,125.0,calinski_harabasz
6,0.6053148786306664,fruchterman_reingold,3,3,125.0,calinski_harabasz
