graph_id,assortativity,layout_name,no_communities,calculated_bestnum,size,bestnum_algo
0,0.9677776201957168,kamada_kawai,2,2,75.0,silhouette
0,0.9677776201957168,spring,2,2,75.0,silhouette
0,0.9677776201957168,davidson_harel,2,2,75.0,silhouette
0,0.9677776201957168,drl,2,2,75.0,silhouette
0,0.9677776201957168,fruchterman_reingold,2,2,75.0,silhouette
0,0.9677776201957168,graphopt,2,2,75.0,silhouette
0,0.9677776201957168,lgl,2,3,75.0,silhouette
0,0.9677776201957168,mds,2,2,75.0,silhouette
1,0.8336037749476372,kamada_kawai,2,2,75.0,silhouette
1,0.8336037749476372,spring,2,2,75.0,silhouette
1,0.8336037749476372,davidson_harel,2,2,75.0,silhouette
1,0.8336037749476372,drl,2,2,75.0,silhouette
1,0.8336037749476372,fruchterman_reingold,2,2,75.0,silhouette
1,0.8336037749476372,graphopt,2,2,75.0,silhouette
1,0.8336037749476372,lgl,2,3,75.0,silhouette
1,0.8336037749476372,mds,2,2,75.0,silhouette
2,0.8137742522661829,kamada_kawai,2,2,75.0,silhouette
2,0.8137742522661829,spring,2,2,75.0,silhouette
2,0.8137742522661829,davidson_harel,2,2,75.0,silhouette
2,0.8137742522661829,drl,2,2,75.0,silhouette
2,0.8137742522661829,fruchterman_reingold,2,2,75.0,silhouette
2,0.8137742522661829,graphopt,2,2,75.0,silhouette
2,0.8137742522661829,lgl,2,6,75.0,silhouette
2,0.8137742522661829,mds,2,2,75.0,silhouette
3,0.6656370928851197,kamada_kawai,2,2,75.0,silhouette
3,0.6656370928851197,spring,2,2,75.0,silhouette
3,0.6656370928851197,davidson_harel,2,2,75.0,silhouette
3,0.6656370928851197,drl,2,3,75.0,silhouette
3,0.6656370928851197,fruchterman_reingold,2,2,75.0,silhouette
3,0.6656370928851197,graphopt,2,2,75.0,silhouette
3,0.6656370928851197,lgl,2,5,75.0,silhouette
3,0.6656370928851197,mds,2,2,75.0,silhouette
4,0.5773902204090883,kamada_kawai,2,2,75.0,silhouette
4,0.5773902204090883,spring,2,2,75.0,silhouette
4,0.5773902204090883,davidson_harel,2,2,75.0,silhouette
4,0.5773902204090883,drl,2,2,75.0,silhouette
4,0.5773902204090883,fruchterman_reingold,2,2,75.0,silhouette
4,0.5773902204090883,graphopt,2,2,75.0,silhouette
4,0.5773902204090883,lgl,2,3,75.0,silhouette
4,0.5773902204090883,mds,2,2,75.0,silhouette
