graph_id,assortativity,layout_name,no_communities,calculated_bestnum,size,bestnum_algo,diff,abs_diff
0,0.9204775637724448,kamada_kawai,2,3,100.0,mix_50ch_50elbow,1,1
0,0.9204775637724448,spring,2,4,100.0,mix_50ch_50elbow,2,2
0,0.9204775637724448,davidson_harel,2,3,100.0,mix_50ch_50elbow,1,1
0,0.9204775637724448,drl,2,3,100.0,mix_50ch_50elbow,1,1
0,0.9204775637724448,fruchterman_reingold,2,4,100.0,mix_50ch_50elbow,2,2
0,0.9204775637724448,graphopt,2,4,100.0,mix_50ch_50elbow,2,2
0,0.9204775637724448,lgl,2,4,100.0,mix_50ch_50elbow,2,2
0,0.9204775637724448,mds,2,3,100.0,mix_50ch_50elbow,1,1
1,0.8830419627658137,kamada_kawai,2,4,100.0,mix_50ch_50elbow,2,2
1,0.8830419627658137,spring,2,4,100.0,mix_50ch_50elbow,2,2
1,0.8830419627658137,davidson_harel,2,4,100.0,mix_50ch_50elbow,2,2
1,0.8830419627658137,drl,2,3,100.0,mix_50ch_50elbow,1,1
1,0.8830419627658137,fruchterman_reingold,2,4,100.0,mix_50ch_50elbow,2,2
1,0.8830419627658137,graphopt,2,4,100.0,mix_50ch_50elbow,2,2
1,0.8830419627658137,lgl,2,4,100.0,mix_50ch_50elbow,2,2
1,0.8830419627658137,mds,2,4,100.0,mix_50ch_50elbow,2,2
2,0.7827676675134301,kamada_kawai,2,4,100.0,mix_50ch_50elbow,2,2
2,0.7827676675134301,spring,2,4,100.0,mix_50ch_50elbow,2,2
2,0.7827676675134301,davidson_harel,2,4,100.0,mix_50ch_50elbow,2,2
2,0.7827676675134301,drl,2,4,100.0,mix_50ch_50elbow,2,2
2,0.7827676675134301,fruchterman_reingold,2,4,100.0,mix_50ch_50elbow,2,2
2,0.7827676675134301,graphopt,2,4,100.0,mix_50ch_50elbow,2,2
2,0.7827676675134301,lgl,2,4,100.0,mix_50ch_50elbow,2,2
