graph_id,assortativity,layout_name,no_communities,calculated_bestnum,bestnum_algo,diff,abs_diff
0,0.9229835773804711,kamada_kawai,2,2,calinski_harabasz,0,0
0,0.9229835773804711,spring,2,2,calinski_harabasz,0,0
0,0.9229835773804711,davidson_harel,2,2,calinski_harabasz,0,0
0,0.9229835773804711,drl,2,2,calinski_harabasz,0,0
0,0.9229835773804711,fruchterman_reingold,2,2,calinski_harabasz,0,0
0,0.9229835773804711,graphopt,2,2,calinski_harabasz,0,0
0,0.9229835773804711,lgl,2,2,calinski_harabasz,0,0
0,0.9229835773804711,mds,2,2,calinski_harabasz,0,0
1,0.8461705368495511,kamada_kawai,2,2,calinski_harabasz,0,0
1,0.8461705368495511,spring,2,2,calinski_harabasz,0,0
1,0.8461705368495511,davidson_harel,2,2,calinski_harabasz,0,0
1,0.8461705368495511,drl,2,3,calinski_harabasz,1,1
1,0.8461705368495511,fruchterman_reingold,2,2,calinski_harabasz,0,0
1,0.8461705368495511,graphopt,2,2,calinski_harabasz,0,0
1,0.8461705368495511,lgl,2,4,calinski_harabasz,2,2
1,0.8461705368495511,mds,2,2,calinski_harabasz,0,0
2,0.7169934640522875,kamada_kawai,2,2,calinski_harabasz,0,0
2,0.7169934640522875,spring,2,2,calinski_harabasz,0,0
2,0.7169934640522875,davidson_harel,2,2,calinski_harabasz,0,0
2,0.7169934640522875,drl,2,2,calinski_harabasz,0,0
2,0.7169934640522875,fruchterman_reingold,2,2,calinski_harabasz,0,0
2,0.7169934640522875,graphopt,2,2,calinski_harabasz,0,0
2,0.7169934640522875,lgl,2,2,calinski_harabasz,0,0
2,0.7169934640522875,mds,2,2,calinski_harabasz,0,0
3,0.6261582933352543,kamada_kawai,2,4,calinski_harabasz,2,2
3,0.6261582933352543,spring,2,2,calinski_harabasz,0,0
3,0.6261582933352543,davidson_harel,2,3,calinski_harabasz,1,1
3,0.6261582933352543,drl,2,2,calinski_harabasz,0,0
3,0.6261582933352543,fruchterman_reingold,2,2,calinski_harabasz,0,0
3,0.6261582933352543,graphopt,2,2,calinski_harabasz,0,0
3,0.6261582933352543,lgl,2,4,calinski_harabasz,2,2
3,0.6261582933352543,mds,2,2,calinski_harabasz,0,0
4,0.9173683882235529,kamada_kawai,2,2,calinski_harabasz,0,0
4,0.9173683882235529,spring,2,2,calinski_harabasz,0,0
4,0.9173683882235529,davidson_harel,2,2,calinski_harabasz,0,0
