graph_id,assortativity,layout_name,no_communities,calculated_bestnum,size,bestnum_algo,diff,abs_diff
0,0.9611950345482984,kamada_kawai,2,3,100,mix_50ch_50elbow,1,1
0,0.9611950345482984,spring,2,3,100,mix_50ch_50elbow,1,1
0,0.9611950345482984,davidson_harel,2,4,100,mix_50ch_50elbow,2,2
0,0.9611950345482984,drl,2,4,100,mix_50ch_50elbow,2,2
0,0.9611950345482984,fruchterman_reingold,2,4,100,mix_50ch_50elbow,2,2
0,0.9611950345482984,graphopt,2,4,100,mix_50ch_50elbow,2,2
0,0.9611950345482984,lgl,2,3,100,mix_50ch_50elbow,1,1
0,0.9611950345482984,mds,2,3,100,mix_50ch_50elbow,1,1
1,0.880149625935162,kamada_kawai,2,3,100,mix_50ch_50elbow,1,1
1,0.880149625935162,spring,2,4,100,mix_50ch_50elbow,2,2
1,0.880149625935162,davidson_harel,2,4,100,mix_50ch_50elbow,2,2
1,0.880149625935162,drl,2,4,100,mix_50ch_50elbow,2,2
1,0.880149625935162,fruchterman_reingold,2,4,100,mix_50ch_50elbow,2,2
1,0.880149625935162,graphopt,2,3,100,mix_50ch_50elbow,1,1
1,0.880149625935162,lgl,2,3,100,mix_50ch_50elbow,1,1
1,0.880149625935162,mds,2,4,100,mix_50ch_50elbow,2,2
2,0.6509541117673783,kamada_kawai,2,4,100,mix_50ch_50elbow,2,2
2,0.6509541117673783,spring,2,4,100,mix_50ch_50elbow,2,2
2,0.6509541117673783,davidson_harel,2,4,100,mix_50ch_50elbow,2,2
2,0.6509541117673783,drl,2,4,100,mix_50ch_50elbow,2,2
2,0.6509541117673783,fruchterman_reingold,2,3,100,mix_50ch_50elbow,1,1
2,0.6509541117673783,graphopt,2,4,100,mix_50ch_50elbow,2,2
2,0.6509541117673783,lgl,2,3,100,mix_50ch_50elbow,1,1
2,0.6509541117673783,mds,2,3,100,mix_50ch_50elbow,1,1
3,0.6259734629982459,kamada_kawai,2,4,100,mix_50ch_50elbow,2,2
3,0.6259734629982459,spring,2,4,100,mix_50ch_50elbow,2,2
3,0.6259734629982459,davidson_harel,2,4,100,mix_50ch_50elbow,2,2
3,0.6259734629982459,drl,2,3,100,mix_50ch_50elbow,1,1
3,0.6259734629982459,fruchterman_reingold,2,4,100,mix_50ch_50elbow,2,2
3,0.6259734629982459,graphopt,2,4,100,mix_50ch_50elbow,2,2
3,0.6259734629982459,lgl,2,4,100,mix_50ch_50elbow,2,2
3,0.6259734629982459,mds,2,3,100,mix_50ch_50elbow,1,1
4,0.4832848567361842,kamada_kawai,2,4,100,mix_50ch_50elbow,2,2
4,0.4832848567361842,spring,2,4,100,mix_50ch_50elbow,2,2
4,0.4832848567361842,davidson_harel,2,4,100,mix_50ch_50elbow,2,2
4,0.4832848567361842,drl,2,3,100,mix_50ch_50elbow,1,1
4,0.4832848567361842,fruchterman_reingold,2,3,100,mix_50ch_50elbow,1,1
4,0.4832848567361842,graphopt,2,4,100,mix_50ch_50elbow,2,2
4,0.4832848567361842,lgl,2,4,100,mix_50ch_50elbow,2,2
4,0.4832848567361842,mds,2,4,100,mix_50ch_50elbow,2,2
5,0.3800827363535466,kamada_kawai,2,4,100,mix_50ch_50elbow,2,2
5,0.3800827363535466,spring,2,3,100,mix_50ch_50elbow,1,1
5,0.3800827363535466,davidson_harel,2,4,100,mix_50ch_50elbow,2,2
5,0.3800827363535466,drl,2,4,100,mix_50ch_50elbow,2,2
5,0.3800827363535466,fruchterman_reingold,2,4,100,mix_50ch_50elbow,2,2
5,0.3800827363535466,graphopt,2,4,100,mix_50ch_50elbow,2,2
5,0.3800827363535466,lgl,2,4,100,mix_50ch_50elbow,2,2
5,0.3800827363535466,mds,2,3,100,mix_50ch_50elbow,1,1
6,0.9441750991395903,kamada_kawai,3,3,100,mix_50ch_50elbow,0,0
6,0.9441750991395903,spring,3,3,100,mix_50ch_50elbow,0,0
6,0.9441750991395903,davidson_harel,3,3,100,mix_50ch_50elbow,0,0
6,0.9441750991395903,drl,3,3,100,mix_50ch_50elbow,0,0
6,0.9441750991395903,fruchterman_reingold,3,3,100,mix_50ch_50elbow,0,0
6,0.9441750991395903,graphopt,3,3,100,mix_50ch_50elbow,0,0
6,0.9441750991395903,lgl,3,4,100,mix_50ch_50elbow,1,1
6,0.9441750991395903,mds,3,3,100,mix_50ch_50elbow,0,0
7,0.8840973667735081,kamada_kawai,3,3,100,mix_50ch_50elbow,0,0
7,0.8840973667735081,spring,3,3,100,mix_50ch_50elbow,0,0
7,0.8840973667735081,davidson_harel,3,3,100,mix_50ch_50elbow,0,0
7,0.8840973667735081,drl,3,3,100,mix_50ch_50elbow,0,0
7,0.8840973667735081,fruchterman_reingold,3,3,100,mix_50ch_50elbow,0,0
7,0.8840973667735081,graphopt,3,3,100,mix_50ch_50elbow,0,0
7,0.8840973667735081,lgl,3,3,100,mix_50ch_50elbow,0,0
7,0.8840973667735081,mds,3,3,100,mix_50ch_50elbow,0,0
8,0.6700209386068862,kamada_kawai,3,3,100,mix_50ch_50elbow,0,0
8,0.6700209386068862,spring,3,3,100,mix_50ch_50elbow,0,0
8,0.6700209386068862,davidson_harel,3,3,100,mix_50ch_50elbow,0,0
8,0.6700209386068862,drl,3,3,100,mix_50ch_50elbow,0,0
8,0.6700209386068862,fruchterman_reingold,3,3,100,mix_50ch_50elbow,0,0
8,0.6700209386068862,graphopt,3,3,100,mix_50ch_50elbow,0,0
8,0.6700209386068862,lgl,3,4,100,mix_50ch_50elbow,1,1
